No.,URL,タイ語,読み,意味,頻出度,フォーマル度,フラグ
1,https://www.gotthai.net/th_words/10447,ประเทศไทย,pràthêet thay,タイ王国<国>(ป...),10,5,
2,https://www.gotthai.net/th_words/125,ใช่,chây,"はい,そうです",10,5,
3,https://www.gotthai.net/th_words/126,ไม่ใช่,mây chây,"〜ではない,いいえ,違います",10,5,
4,https://www.gotthai.net/th_words/127,อะไร,aray,"何,なに<疑問>,何か,何,物,事",10,5,
5,https://www.gotthai.net/th_words/137,มี,mii,"持っている,ある,いる",10,5,
6,https://www.gotthai.net/th_words/138,ไม่,mây,〜ない<否定>,10,5,
7,https://www.gotthai.net/th_words/13971,วันพฤหัสบดี,wan pharʉ́hàtsabɔdii,木曜日(正式),10,5,
8,https://www.gotthai.net/th_words/16712,สีขาว,sǐi khǎaw,白色<色>,10,5,
9,https://www.gotthai.net/th_words/1887,และ,lɛ́,"〜と〜,〜そして〜[単語や文を結ぶ]",10,5,
10,https://www.gotthai.net/th_words/288,สิบเอ็ด,sìp èt,11<数字>,10,5,
11,https://www.gotthai.net/th_words/289,ยี่สิบ,yîisìp,20<数字>(正式),10,5,
12,https://www.gotthai.net/th_words/291,นะ,ná,"〜よ,〜ね！",10,2,
13,https://www.gotthai.net/th_words/292,ภาษา,phaasǎa,"言葉,〜語,言語",10,5,
14,https://www.gotthai.net/th_words/293,ไทย,thay,タイ<国>,10,5,
15,https://www.gotthai.net/th_words/295,ปากกา,pàakkaa,"ペン,ボールペン",10,5,
16,https://www.gotthai.net/th_words/296,ดินสอ,dinsɔ̌ɔ,鉛筆,10,5,
17,https://www.gotthai.net/th_words/364,เพื่อน,phʉ̂an,"友達,友だち,友人",10,5,
18,https://www.gotthai.net/th_words/369,อาหาร,aahǎan,"料理,食事,食べ物",10,5,
19,https://www.gotthai.net/th_words/370,ข้าว,khâaw,"ごはん,米,食事,稲",10,5,
20,https://www.gotthai.net/th_words/416,บ้าน,bâan,"家,実家",10,5,
21,https://www.gotthai.net/th_words/417,โรงเรียน,rooŋ rian,"学校,校舎",10,5,
22,https://www.gotthai.net/th_words/484,วันนี้,wan níi,"今日,本日",10,5,
23,https://www.gotthai.net/th_words/588,ปี,pii,"〜年,〜年間<類別詞>,〜歳[13歳以上]",10,5,
24,https://www.gotthai.net/th_words/591,ปีนี้,pii níi,今年,10,5,
25,https://www.gotthai.net/th_words/592,ปีหน้า,pii nâa,来年,10,5,
26,https://www.gotthai.net/th_words/594,เดือนนี้,dʉan níi,今月,10,5,
27,https://www.gotthai.net/th_words/63,สวัสดี,sawàtdii,"こんにちは,こんばんは,おはよう,やあ",10,7,
28,https://www.gotthai.net/th_words/74,ขอบคุณ,khɔ̀ɔp khun,ありがとう,10,5,
29,https://www.gotthai.net/th_words/75,ครับ,khráp,"〜です,〜ます<丁寧語><男性>,はい,わかりました<男性>",10,7,
30,https://www.gotthai.net/th_words/76,ค่ะ,khâ,"〜です,〜ます<丁寧語><女性>,はい,わかりました<女性>",10,7,
31,https://www.gotthai.net/th_words/79,ขอโทษ,khɔ̌ɔ thôot,"ごめんなさい,すいません,謝る",10,5,
32,https://www.gotthai.net/th_words/9416,กรุงเทพฯ,kruŋthêep,"バンコク,バンコク都<地名>(略)",10,5,
33,https://www.gotthai.net/th_words/9493,คนไทย,khon thay,タイ人,10,5,
34,https://www.gotthai.net/th_words/9548,เมื่อวานนี้,mʉ̂a waan níi,昨日(文字数多い),10,5,
35,https://www.gotthai.net/th_words/9624,กรุงเทพมหานคร,kruŋthêep mahǎanákhɔɔn,"バンコク,バンコク都<地名>(正式)",10,10,
36,https://www.gotthai.net/th_words/9709,ไม่มี,mây mii,"無い,持っていない,居ない",10,5,
37,https://www.gotthai.net/th_words/9719,สหรัฐอเมริกา,saharàt ameeríkaa,"アメリカ合衆国,米国<国>",10,10,
38,https://www.gotthai.net/th_words/9861,กิโลกรัม,kìlookram,"キログラム,kg",10,5,
39,https://www.gotthai.net/th_words/1039,พัทยา,phátthayaa,パタヤ<地名>,10,5,
40,https://www.gotthai.net/th_words/1043,เชียงใหม่,chiaŋmày,"チェンマイ県,チェンマイ郡<地名>",10,5,
41,https://www.gotthai.net/th_words/111,แม่,mɛ̂ɛ,"母,女性のリーダーや偉い人,音節に関する接頭語<文法>",10,5,
42,https://www.gotthai.net/th_words/1124,จังหวัด,caŋwàt,"県[日本の""県""にあたる行政区]",10,5,
43,https://www.gotthai.net/th_words/1135,ตู้เย็น,tûu yen,冷蔵庫,10,5,
44,https://www.gotthai.net/th_words/1142,ใช้,cháy,"使う,使用する,用いる,利用する,〜を使って,かける,かかる,費やす[お金・時間]",10,5,
45,https://www.gotthai.net/th_words/1214,ดื่ม,dʉ̀ʉm,飲む,10,5,
46,https://www.gotthai.net/th_words/1217,ถนน,thanǒn,"大通り,タノン,道,道路",10,5,
47,https://www.gotthai.net/th_words/1221,มือ,mʉʉ,"手,腕,技術,スキル,職人,技術者",10,5,
48,https://www.gotthai.net/th_words/1279,เตียง,tiaŋ,"ベッド,〜台[ベッド]<類別詞>",10,5,
